Reported number of people receiving ART,Estimated number of people living with HIV,Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region,id_pays,region_who,median,min,max,id_type_traitement,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,124,europe,,,,1,,,,,,,,
37200                                   ,41000[36000–46000]                         ,                                            41000 ,                                         36000 ,                                         46000 ,                                                            90 ,                                                         78 ,                                                         95 ,Europe,125,europe,90.0,78.0,95.0,1,,,,,,,,
150                                     ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Eastern Mediterranean,126,eastern mediterranean,,,,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Western Pacific,127,western pacific,,,,1,,,,,,,,
6000                                    ,17000[14000–23000]                         ,                                            17000 ,                                         14000 ,                                         23000 ,                                                            34 ,                                                         27 ,                                                         45 ,Europe,128,europe,34.0,27.0,45.0,1,,,,,,,,
240                                     ,500[500–520]                               ,                                              500 ,                                           500 ,                                           520 ,                                                            54 ,                                                         47 ,                                                         63 ,Europe,129,europe,54.0,47.0,63.0,1,,,,,,,,
12100                                   ,18000[16000–20000]                         ,                                            18000 ,                                         16000 ,                                         20000 ,                                                            67 ,                                                         60 ,                                                         73 ,Europe,130,europe,67.0,60.0,73.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,131,europe,,,,1,,,,,,,,
194000                                  ,220000[200000–250000]                      ,                                           220000 ,                                        200000 ,                                        250000 ,                                                            87 ,                                                         76 ,                                                         95 ,Africa,132,africa,87.0,76.0,95.0,1,,,,,,,,
6300                                    ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Eastern Mediterranean,133,eastern mediterranean,,,,1,,,,,,,,
26600                                   ,42000[37000–47000]                         ,                                            42000 ,                                         37000 ,                                         47000 ,                                                            63 ,                                                         55 ,                                                         71 ,Africa,134,africa,63.0,55.0,71.0,1,,,,,,,,
2000                                    ,3000[2200–3800]                            ,                                             3000 ,                                          2200 ,                                          3800 ,                                                            65 ,                                                         47 ,                                                         83 ,Europe,135,europe,65.0,47.0,83.0,1,,,,,,,,
28400                                   ,70000[56000–86000]                         ,                                            70000 ,                                         56000 ,                                         86000 ,                                                            41 ,                                                         33 ,                                                         50 ,Africa,136,africa,41.0,33.0,50.0,1,,,,,,,,
6200                                    ,7900[7200–8700]                            ,                                             7900 ,                                          7200 ,                                          8700 ,                                                            78 ,                                                         71 ,                                                         86 ,Western Pacific,137,western pacific,78.0,71.0,86.0,1,,,,,,,,
650                                     ,1200[910–1900]                             ,                                             1200 ,                                           910 ,                                          1900 ,                                                            54 ,                                                         40 ,                                                         85 ,Europe,138,europe,54.0,40.0,85.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,139,europe,,,,1,,,,,,,,
3300                                    ,11000[8400–15000]                          ,                                            11000 ,                                          8400 ,                                         15000 ,                                                            30 ,                                                         23 ,                                                         41 ,Eastern Mediterranean,140,eastern mediterranean,30.0,23.0,41.0,1,,,,,,,,
4788000                                 ,7700000[7100000–8300000]                   ,                                          7700000 ,                                       7100000 ,                                       8300000 ,                                                            62 ,                                                         57 ,                                                         66 ,Africa,141,africa,62.0,57.0,66.0,1,,,,,,,,
30700                                   ,190000[140000–240000]                      ,                                           190000 ,                                        140000 ,                                        240000 ,                                                            16 ,                                                         12 ,                                                         20 ,Africa,142,africa,16.0,12.0,20.0,1,,,,,,,,
125000                                  ,150000[130000–170000]                      ,                                           150000 ,                                        130000 ,                                        170000 ,                                                            84 ,                                                         73 ,                                                         94 ,Europe,143,europe,84.0,73.0,94.0,1,,,,,,,,
1600                                    ,3500[3100–4000]                            ,                                             3500 ,                                          3100 ,                                          4000 ,                                                            45 ,                                                         40 ,                                                         52 ,South-East Asia,144,south-east asia,45.0,40.0,52.0,1,,,,,,,,
9000                                    ,59000[26000–110000]                        ,                                            59000 ,                                         26000 ,                                        110000 ,                                                            15 ,                                                          7 ,                                                         28 ,Eastern Mediterranean,145,eastern mediterranean,15.0,7.0,28.0,1,,,,,,,,
2900                                    ,5600[3700–8100]                            ,                                             5600 ,                                          3700 ,                                          8100 ,                                                            52 ,                                                         35 ,                                                         75 ,Americas,146,americas,52.0,35.0,75.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,147,europe,,,,1,,,,,,,,
14800                                   ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,148,europe,,,,1,,,,,,,,
130                                     ,660[590–720]                               ,                                              660 ,                                           590 ,                                           720 ,                                                            20 ,                                                         18 ,                                                         22 ,Eastern Mediterranean,149,eastern mediterranean,20.0,18.0,22.0,1,,,,,,,,
6000                                    ,13000[11000–16000]                         ,                                            13000 ,                                         11000 ,                                         16000 ,                                                            46 ,                                                         38 ,                                                         56 ,Europe,150,europe,46.0,38.0,56.0,1,,,,,,,,
359000                                  ,480000[420000–550000]                      ,                                           480000 ,                                        420000 ,                                        550000 ,                                                            75 ,                                                         66 ,                                                         86 ,South-East Asia,151,south-east asia,75.0,66.0,86.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,South-East Asia,152,south-east asia,,,,1,,,,,,,,
64800                                   ,110000[100000–120000]                      ,                                           110000 ,                                        100000 ,                                        120000 ,                                                            60 ,                                                         56 ,                                                         65 ,Africa,153,africa,60.0,56.0,65.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Americas,154,americas,,,,1,,,,,,,,
1100                                    ,2800[1700–4400]                            ,                                             2800 ,                                          1700 ,                                          4400 ,                                                            39 ,                                                         24 ,                                                         61 ,Eastern Mediterranean,155,eastern mediterranean,39.0,24.0,61.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,156,europe,,,,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,157,europe,,,,1,,,,,,,,
1004000                                 ,1400000[1300000–1500000]                   ,                                          1400000 ,                                       1300000 ,                                       1500000 ,                                                            72 ,                                                         68 ,                                                         78 ,Africa,158,africa,72.0,68.0,78.0,1,,,,,,,,
124000                                  ,240000[220000–260000]                      ,                                           240000 ,                                        220000 ,                                        260000 ,                                                            52 ,                                                         48 ,                                                         56 ,Europe,159,europe,52.0,48.0,56.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Eastern Mediterranean,160,eastern mediterranean,,,,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,161,europe,,,,1,,,,,,,,
1109000                                 ,1600000[1400000–1700000]                   ,                                          1600000 ,                                       1400000 ,                                       1700000 ,                                                            71 ,                                                         64 ,                                                         78 ,Africa,162,africa,71.0,64.0,78.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Americas,163,americas,,,,1,,,,,,,,
8100                                    ,14000[9900–19000]                          ,                                            14000 ,                                          9900 ,                                         19000 ,                                                            58 ,                                                         41 ,                                                         76 ,Americas,164,americas,58.0,41.0,76.0,1,,,,,,,,
26700                                   ,52000[48000–56000]                         ,                                            52000 ,                                         48000 ,                                         56000 ,                                                            51 ,                                                         47 ,                                                         55 ,Europe,165,europe,51.0,47.0,55.0,1,,,,,,,,
Nodata                                  ,120000[100000–130000]                      ,                                           120000 ,                                        100000 ,                                        130000 ,                                                               ,                                                            ,                                                            ,Americas,166,americas,,,,1,,,,,,,,
150000                                  ,230000[200000–260000]                      ,                                           230000 ,                                        200000 ,                                        260000 ,                                                            65 ,                                                         57 ,                                                         73 ,Western Pacific,167,western pacific,65.0,57.0,73.0,1,,,,,,,,
2200                                    ,11000[6500–18000]                          ,                                            11000 ,                                          6500 ,                                         18000 ,                                                            21 ,                                                         12 ,                                                         35 ,Eastern Mediterranean,168,eastern mediterranean,21.0,12.0,35.0,1,,,,,,,,
965000                                  ,1200000[1100000–1400000]                   ,                                          1200000 ,                                       1100000 ,                                       1400000 ,                                                            78 ,                                                         69 ,                                                         88 ,Africa,169,africa,78.0,69.0,88.0,1,,,,,,,,
1151000                                 ,1300000[1100000–1500000]                   ,                                          1300000 ,                                       1100000 ,                                       1500000 ,                                                            88 ,                                                         77 ,                                                         95 ,Africa,170,africa,88.0,77.0,95.0,1,,,,,,,,
,,,,,,,,Eastern Mediterranean,1,eastern mediterranean,17.0,10.0,26.0,2,60                                        ,500[500-530]                                                  ,                                                                 500 ,                                                              500 ,                                                              530 ,                                              17 ,                                           10 ,                                           26 
,,,,,,,,Europe,2,europe,,,,2,20                                        ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,3,africa,95.0,95.0,95.0,2,770                                       ,500[500-520]                                                  ,                                                                 500 ,                                                              500 ,                                                              520 ,                                              95 ,                                           95 ,                                           95 
,,,,,,,,Africa,4,africa,13.0,10.0,16.0,2,4800                                      ,38000[30000-47000]                                            ,                                                               38000 ,                                                            30000 ,                                                            47000 ,                                              13 ,                                           10 ,                                           16 
,,,,,,,,Americas,5,americas,92.0,84.0,95.0,2,1700                                      ,1800[1600-2100]                                               ,                                                                1800 ,                                                             1600 ,                                                             2100 ,                                              92 ,                                           84 ,                                           95 
,,,,,,,,Europe,6,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,7,western pacific,,,,2,No data                                   ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                                 ,                                              ,                                              
,,,,,,,,Europe,8,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,9,europe,,,,2,110                                       ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,10,americas,21.0,18.0,26.0,2,40                                        ,200[200-500]                                                  ,                                                                 200 ,                                                              200 ,                                                              500 ,                                              21 ,                                           18 ,                                           26 
,,,,,,,,Eastern Mediterranean,11,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,South-East Asia,12,south-east asia,33.0,28.0,38.0,2,130                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              33 ,                                           28 ,                                           38 
,,,,,,,,Americas,13,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,14,europe,88.0,64.0,95.0,2,220                                       ,500[200-500]                                                  ,                                                                 500 ,                                                              200 ,                                                              500 ,                                              88 ,                                           64 ,                                           95 
,,,,,,,,Europe,15,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,16,americas,34.0,31.0,38.0,2,60                                        ,200[200-200]                                                  ,                                                                 200 ,                                                              200 ,                                                              200 ,                                              34 ,                                           31 ,                                           38 
,,,,,,,,Africa,17,africa,44.0,27.0,77.0,2,2000                                      ,4600[2800-8000]                                               ,                                                                4600 ,                                                             2800 ,                                                             8000 ,                                              44 ,                                           27 ,                                           77 
,,,,,,,,South-East Asia,18,south-east asia,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,19,americas,40.0,37.0,43.0,2,250                                       ,620[560-670]                                                  ,                                                                 620 ,                                                              560 ,                                                              670 ,                                              40 ,                                           37 ,                                           43 
,,,,,,,,Europe,20,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,21,africa,38.0,28.0,46.0,2,5400                                      ,14000[10000-17000]                                            ,                                                               14000 ,                                                            10000 ,                                                            17000 ,                                              38 ,                                           28 ,                                           46 
,,,,,,,,Americas,22,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,23,western pacific,,,,2,0                                         ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,24,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,25,africa,21.0,15.0,29.0,2,1900                                      ,9100[6300-12000]                                              ,                                                                9100 ,                                                             6300 ,                                                            12000 ,                                              21 ,                                           15 ,                                           29 
,,,,,,,,Africa,26,africa,30.0,22.0,38.0,2,3400                                      ,11000[8000-14000]                                             ,                                                               11000 ,                                                             8000 ,                                                            14000 ,                                              30 ,                                           22 ,                                           38 
,,,,,,,,Africa,27,africa,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,28,western pacific,92.0,78.0,95.0,2,3000                                      ,3300[2800-3900]                                               ,                                                                3300 ,                                                             2800 ,                                                             3900 ,                                              92 ,                                           78 ,                                           95 
,,,,,,,,Africa,29,africa,24.0,18.0,28.0,2,10 300                                    ,43000[33000-51000]                                            ,                                                               43000 ,                                                            33000 ,                                                            51000 ,                                              24 ,                                           18 ,                                           28 
,,,,,,,,Americas,30,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,31,africa,23.0,18.0,29.0,2,2500                                      ,11000[8200-14000]                                             ,                                                               11000 ,                                                             8200 ,                                                            14000 ,                                              23 ,                                           18 ,                                           29 
,,,,,,,,Africa,32,africa,16.0,11.0,22.0,2,2600                                      ,16000[11000-21000]                                            ,                                                               16000 ,                                                            11000 ,                                                            21000 ,                                              16 ,                                           11 ,                                           22 
,,,,,,,,Americas,33,americas,56.0,50.0,61.0,2,140                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              56 ,                                           50 ,                                           61 
,,,,,,,,Western Pacific,34,western pacific,,,,2,6200                                      ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,35,americas,41.0,32.0,49.0,2,1500                                      ,3600[2900-4300]                                               ,                                                                3600 ,                                                             2900 ,                                                             4300 ,                                              41 ,                                           32 ,                                           49 
,,,,,,,,Africa,36,africa,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,37,americas,25.0,19.0,33.0,2,2000                                      ,7700[5800-10000]                                              ,                                                                7700 ,                                                             5800 ,                                                            10000 ,                                              25 ,                                           19 ,                                           33 
,,,,,,,,Americas,38,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,39,africa,40.0,29.0,54.0,2,12 300                                    ,31000[23000-41000]                                            ,                                                               31000 ,                                                            23000 ,                                                            41000 ,                                              40 ,                                           29 ,                                           54 
,,,,,,,,Europe,40,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,41,americas,34.0,23.0,46.0,2,30                                        ,100[100-200]                                                  ,                                                                 100 ,                                                              100 ,                                                              200 ,                                              34 ,                                           23 ,                                           46 
,,,,,,,,Europe,42,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,43,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,44,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,45,africa,25.0,20.0,30.0,2,16 000                                    ,64000[50000-76000]                                            ,                                                               64000 ,                                                            50000 ,                                                            76000 ,                                              25 ,                                           20 ,                                           30 
,,,,,,,,Europe,46,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,47,eastern mediterranean,10.0,8.0,13.0,2,80                                        ,810[640-1000]                                                 ,                                                                 810 ,                                                              640 ,                                                             1000 ,                                              10 ,                                            8 ,                                           13 
,,,,,,,,Americas,48,americas,55.0,39.0,74.0,2,780                                       ,1400[1000-1900]                                               ,                                                                1400 ,                                                             1000 ,                                                             1900 ,                                              55 ,                                           39 ,                                           74 
,,,,,,,,Americas,49,americas,82.0,54.0,95.0,2,540                                       ,660[500-1200]                                                 ,                                                                 660 ,                                                              500 ,                                                             1200 ,                                              82 ,                                           54 ,                                           95 
,,,,,,,,Eastern Mediterranean,50,eastern mediterranean,39.0,36.0,42.0,2,180                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              39 ,                                           36 ,                                           42 
,,,,,,,,Americas,51,americas,24.0,19.0,30.0,2,150                                       ,610[500-740]                                                  ,                                                                 610 ,                                                              500 ,                                                              740 ,                                              24 ,                                           19 ,                                           30 
,,,,,,,,Africa,52,africa,14.0,10.0,19.0,2,770                                       ,5300[3800-7100]                                               ,                                                                5300 ,                                                             3800 ,                                                             7100 ,                                              14 ,                                           10 ,                                           19 
,,,,,,,,Africa,53,africa,37.0,26.0,55.0,2,500                                       ,1300[930-2000]                                                ,                                                                1300 ,                                                              930 ,                                                             2000 ,                                              37 ,                                           26 ,                                           55 
,,,,,,,,Europe,54,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,55,africa,76.0,63.0,88.0,2,8600                                      ,11000[9400-13000]                                             ,                                                               11000 ,                                                             9400 ,                                                            13000 ,                                              76 ,                                           63 ,                                           88 
,,,,,,,,Africa,56,africa,59.0,38.0,90.0,2,21 500                                    ,36000[23000-55000]                                            ,                                                               36000 ,                                                            23000 ,                                                            55000 ,                                              59 ,                                           38 ,                                           90 
,,,,,,,,Western Pacific,57,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,58,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,59,europe,,,,2,No data                                   ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                                 ,                                              ,                                              
,,,,,,,,Africa,60,africa,57.0,41.0,78.0,2,1900                                      ,3200[2300-4400]                                               ,                                                                3200 ,                                                             2300 ,                                                             4400 ,                                              57 ,                                           41 ,                                           78 
,,,,,,,,Africa,61,africa,30.0,23.0,39.0,2,550                                       ,1900[1400-2500]                                               ,                                                                1900 ,                                                             1400 ,                                                             2500 ,                                              30 ,                                           23 ,                                           39 
,,,,,,,,Europe,62,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,63,europe,,,,2,No data                                   ,200[100-200]                                                  ,                                                                 200 ,                                                              100 ,                                                              200 ,                                                 ,                                              ,                                              
,,,,,,,,Africa,64,africa,20.0,15.0,25.0,2,5900                                      ,30000[23000-37000]                                            ,                                                               30000 ,                                                            23000 ,                                                            37000 ,                                              20 ,                                           15 ,                                           25 
,,,,,,,,Europe,65,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,66,americas,36.0,33.0,39.0,2,730                                       ,2000[1800-2200]                                               ,                                                                2000 ,                                                             1800 ,                                                             2200 ,                                              36 ,                                           33 ,                                           39 
,,,,,,,,Africa,67,africa,20.0,15.0,25.0,2,2100                                      ,10000[7900-13000]                                             ,                                                               10000 ,                                                             7900 ,                                                            13000 ,                                              20 ,                                           15 ,                                           25 
,,,,,,,,Africa,68,africa,6.0,5.0,7.0,2,350                                       ,5700[4700-6600]                                               ,                                                                5700 ,                                                             4700 ,                                                             6600 ,                                               6 ,                                            5 ,                                            7 
,,,,,,,,Americas,69,americas,38.0,31.0,44.0,2,110                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              38 ,                                           31 ,                                           44 
,,,,,,,,Americas,70,americas,40.0,32.0,45.0,2,3400                                      ,8700[7000-9900]                                               ,                                                                8700 ,                                                             7000 ,                                                             9900 ,                                              40 ,                                           32 ,                                           45 
,,,,,,,,Americas,71,americas,41.0,33.0,49.0,2,360                                       ,890[710-1100]                                                 ,                                                                 890 ,                                                              710 ,                                                             1100 ,                                              41 ,                                           33 ,                                           49 
,,,,,,,,Europe,72,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,73,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,South-East Asia,74,south-east asia,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,South-East Asia,75,south-east asia,22.0,19.0,26.0,2,3900                                      ,18000[15000-20000]                                            ,                                                               18000 ,                                                            15000 ,                                                            20000 ,                                              22 ,                                           19 ,                                           26 
,,,,,,,,Eastern Mediterranean,76,eastern mediterranean,58.0,39.0,95.0,2,510                                       ,880[580-1600]                                                 ,                                                                 880 ,                                                              580 ,                                                             1600 ,                                              58 ,                                           39 ,                                           95 
,,,,,,,,Europe,77,europe,,,,2,No data                                   ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                                 ,                                              ,                                              
,,,,,,,,Europe,78,europe,,,,2,No data                                   ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                                 ,                                              ,                                              
,,,,,,,,Europe,79,europe,,,,2,No data                                   ,500[200-500]                                                  ,                                                                 500 ,                                                              200 ,                                                              500 ,                                                 ,                                              ,                                              
,,,,,,,,Americas,80,americas,51.0,46.0,57.0,2,140                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              51 ,                                           46 ,                                           57 
,,,,,,,,Western Pacific,81,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,82,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,83,europe,95.0,95.0,95.0,2,430                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              95 ,                                           95 ,                                           95 
,,,,,,,,Africa,84,africa,61.0,47.0,78.0,2,74 300                                    ,120000[95000-160000]                                          ,                                                              120000 ,                                                            95000 ,                                                           160000 ,                                              61 ,                                           47 ,                                           78 
,,,,,,,,Eastern Mediterranean,85,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,86,europe,95.0,95.0,95.0,2,450                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              95 ,                                           95 ,                                           95 
,,,,,,,,Western Pacific,87,western pacific,40.0,35.0,46.0,2,280                                       ,700[620-820]                                                  ,                                                                 700 ,                                                              620 ,                                                              820 ,                                              40 ,                                           35 ,                                           46 
,,,,,,,,Europe,88,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,89,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,90,africa,70.0,55.0,81.0,2,8500                                      ,12000[9500-14000]                                             ,                                                               12000 ,                                                             9500 ,                                                            14000 ,                                              70 ,                                           55 ,                                           81 
,,,,,,,,Africa,91,africa,18.0,14.0,21.0,2,680                                       ,3700[3000-4400]                                               ,                                                                3700 ,                                                             3000 ,                                                             4400 ,                                              18 ,                                           14 ,                                           21 
,,,,,,,,Eastern Mediterranean,92,eastern mediterranean,33.0,30.0,35.0,2,80                                        ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              33 ,                                           30 ,                                           35 
,,,,,,,,Europe,93,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,94,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,95,africa,5.0,4.0,6.0,2,90                                        ,1900[1600-2500]                                               ,                                                                1900 ,                                                             1600 ,                                                             2500 ,                                               5 ,                                            4 ,                                            6 
,,,,,,,,Africa,96,africa,61.0,47.0,73.0,2,45 100                                    ,74000[57000-89000]                                            ,                                                               74000 ,                                                            57000 ,                                                            89000 ,                                              61 ,                                           47 ,                                           73 
,,,,,,,,Western Pacific,97,western pacific,94.0,77.0,95.0,2,400                                       ,500[500-520]                                                  ,                                                                 500 ,                                                              500 ,                                                              520 ,                                              94 ,                                           77 ,                                           95 
,,,,,,,,South-East Asia,98,south-east asia,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,99,africa,18.0,14.0,23.0,2,3400                                      ,19000[15000-24000]                                            ,                                                               19000 ,                                                            15000 ,                                                            24000 ,                                              18 ,                                           14 ,                                           23 
,,,,,,,,Europe,100,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,101,africa,54.0,46.0,66.0,2,180                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              54 ,                                           46 ,                                           66 
,,,,,,,,Africa,102,africa,45.0,40.0,50.0,2,40                                        ,100[100-200]                                                  ,                                                                 100 ,                                                              100 ,                                                              200 ,                                              45 ,                                           40 ,                                           50 
,,,,,,,,Americas,103,americas,,,,2,No data                                   ,2300[1900-2600]                                               ,                                                                2300 ,                                                             1900 ,                                                             2600 ,                                                 ,                                              ,                                              
