Reported number of people receiving ART,Estimated number of people living with HIV,Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region,id_pays,region_who,median,min,max,id_type_traitement,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max
2200                                    ,2400[2100–2900]                            ,                                             2400 ,                                          2100 ,                                          2900 ,                                                            89 ,                                                         75 ,                                                         95 ,Africa,27,africa,89.0,75.0,95.0,1,,,,,,,,
59500                                   ,73000[64000–84000]                         ,                                            73000 ,                                         64000 ,                                         84000 ,                                                            81 ,                                                         71 ,                                                         93 ,Western Pacific,28,western pacific,81.0,71.0,93.0,1,,,,,,,,
281000                                  ,540000[470000–590000]                      ,                                           540000 ,                                        470000 ,                                        590000 ,                                                            52 ,                                                         46 ,                                                         57 ,Africa,29,africa,52.0,46.0,57.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Americas,30,americas,,,,1,,,,,,,,
39600                                   ,110000[90000–140000]                       ,                                           110000 ,                                         90000 ,                                        140000 ,                                                            36 ,                                                         30 ,                                                         45 ,Africa,31,africa,36.0,30.0,45.0,1,,,,,,,,
61400                                   ,120000[94000–150000]                       ,                                           120000 ,                                         94000 ,                                        150000 ,                                                            51 ,                                                         40 ,                                                         63 ,Africa,32,africa,51.0,40.0,63.0,1,,,,,,,,
45100                                   ,71000[63000–78000]                         ,                                            71000 ,                                         63000 ,                                         78000 ,                                                            63 ,                                                         56 ,                                                         70 ,Americas,33,americas,63.0,56.0,70.0,1,,,,,,,,
718000                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Western Pacific,34,western pacific,,,,1,,,,,,,,
113000                                  ,160000[130000–180000]                      ,                                           160000 ,                                        130000 ,                                        180000 ,                                                            73 ,                                                         60 ,                                                         86 ,Americas,35,americas,73.0,60.0,86.0,1,,,,,,,,
100                                     ,200[100–500]                               ,                                              200 ,                                           100 ,                                           500 ,                                                            79 ,                                                         39 ,                                                         95 ,Africa,36,africa,79.0,39.0,95.0,1,,,,,,,,
31200                                   ,89000[69000–120000]                        ,                                            89000 ,                                         69000 ,                                        120000 ,                                                            35 ,                                                         27 ,                                                         46 ,Americas,37,americas,35.0,27.0,46.0,1,,,,,,,,
7200                                    ,15000[13000–17000]                         ,                                            15000 ,                                         13000 ,                                         17000 ,                                                            49 ,                                                         44 ,                                                         54 ,Americas,38,americas,49.0,44.0,54.0,1,,,,,,,,
252000                                  ,460000[360000–580000]                      ,                                           460000 ,                                        360000 ,                                        580000 ,                                                            55 ,                                                         44 ,                                                         70 ,Africa,39,africa,55.0,44.0,70.0,1,,,,,,,,
1200                                    ,1600[1400–1700]                            ,                                             1600 ,                                          1400 ,                                          1700 ,                                                            75 ,                                                         67 ,                                                         83 ,Europe,40,europe,75.0,67.0,83.0,1,,,,,,,,
21900                                   ,31000[24000–37000]                         ,                                            31000 ,                                         24000 ,                                         37000 ,                                                            72 ,                                                         55 ,                                                         85 ,Americas,41,americas,72.0,55.0,85.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,42,europe,,,,1,,,,,,,,
2600                                    ,4400[3700–5000]                            ,                                             4400 ,                                          3700 ,                                          5000 ,                                                            60 ,                                                         51 ,                                                         68 ,Europe,43,europe,60.0,51.0,68.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Western Pacific,44,western pacific,,,,1,,,,,,,,
256000                                  ,450000[370000–530000]                      ,                                           450000 ,                                        370000 ,                                        530000 ,                                                            57 ,                                                         47 ,                                                         67 ,Africa,45,africa,57.0,47.0,67.0,1,,,,,,,,
5500                                    ,6200[5600–7000]                            ,                                             6200 ,                                          5600 ,                                          7000 ,                                                            89 ,                                                         79 ,                                                         95 ,Europe,46,europe,89.0,79.0,95.0,1,,,,,,,,
2700                                    ,8800[7100–11000]                           ,                                             8800 ,                                          7100 ,                                         11000 ,                                                            30 ,                                                         25 ,                                                         38 ,Eastern Mediterranean,47,eastern mediterranean,30.0,25.0,38.0,1,,,,,,,,
39000                                   ,70000[54000–92000]                         ,                                            70000 ,                                         54000 ,                                         92000 ,                                                            56 ,                                                         43 ,                                                         73 ,Americas,48,americas,56.0,43.0,73.0,1,,,,,,,,
25100                                   ,44000[29000–71000]                         ,                                            44000 ,                                         29000 ,                                         71000 ,                                                            57 ,                                                         38 ,                                                         93 ,Americas,49,americas,57.0,38.0,93.0,1,,,,,,,,
6700                                    ,22000[20000–24000]                         ,                                            22000 ,                                         20000 ,                                         24000 ,                                                            31 ,                                                         28 ,                                                         33 ,Eastern Mediterranean,50,eastern mediterranean,31.0,28.0,33.0,1,,,,,,,,
11900                                   ,25000[21000–30000]                         ,                                            25000 ,                                         21000 ,                                         30000 ,                                                            47 ,                                                         39 ,                                                         55 ,Americas,51,americas,47.0,39.0,55.0,1,,,,,,,,
21400                                   ,62000[50000–81000]                         ,                                            62000 ,                                         50000 ,                                         81000 ,                                                            34 ,                                                         27 ,                                                         44 ,Africa,52,africa,34.0,27.0,44.0,1,,,,,,,,
8900                                    ,18000[13000–24000]                         ,                                            18000 ,                                         13000 ,                                         24000 ,                                                            51 ,                                                         38 ,                                                         68 ,Africa,53,africa,51.0,38.0,68.0,1,,,,,,,,
4300                                    ,7400[6600–8200]                            ,                                             7400 ,                                          6600 ,                                          8200 ,                                                            59 ,                                                         53 ,                                                         66 ,Europe,54,europe,59.0,53.0,66.0,1,,,,,,,,
177000                                  ,210000[190000–220000]                      ,                                           210000 ,                                        190000 ,                                        220000 ,                                                            86 ,                                                         80 ,                                                         94 ,Africa,55,africa,86.0,80.0,94.0,1,,,,,,,,
450000                                  ,690000[530000–900000]                      ,                                           690000 ,                                        530000 ,                                        900000 ,                                                            65 ,                                                         50 ,                                                         85 ,Africa,56,africa,65.0,50.0,85.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Western Pacific,57,western pacific,,,,1,,,,,,,,
3000                                    ,4000[3100–4900]                            ,                                             4000 ,                                          3100 ,                                          4900 ,                                                            76 ,                                                         60 ,                                                         95 ,Europe,58,europe,76.0,60.0,95.0,1,,,,,,,,
148000                                  ,180000[150000–210000]                      ,                                           180000 ,                                        150000 ,                                        210000 ,                                                            83 ,                                                         69 ,                                                         95 ,Europe,59,europe,83.0,69.0,95.0,1,,,,,,,,
35600                                   ,53000[43000–67000]                         ,                                            53000 ,                                         43000 ,                                         67000 ,                                                            67 ,                                                         54 ,                                                         85 ,Africa,60,africa,67.0,54.0,85.0,1,,,,,,,,
7500                                    ,26000[21000–33000]                         ,                                            26000 ,                                         21000 ,                                         33000 ,                                                            29 ,                                                         24 ,                                                         38 ,Africa,61,africa,29.0,24.0,38.0,1,,,,,,,,
4600                                    ,9400[8100–11000]                           ,                                             9400 ,                                          8100 ,                                         11000 ,                                                            49 ,                                                         42 ,                                                         57 ,Europe,62,europe,49.0,42.0,57.0,1,,,,,,,,
69900                                   ,87000[71000–100000]                        ,                                            87000 ,                                         71000 ,                                        100000 ,                                                            80 ,                                                         65 ,                                                         93 ,Europe,63,europe,80.0,65.0,93.0,1,,,,,,,,
113000                                  ,330000[280000–390000]                      ,                                           330000 ,                                        280000 ,                                        390000 ,                                                            34 ,                                                         28 ,                                                         39 ,Africa,64,africa,34.0,28.0,39.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,65,europe,,,,1,,,,,,,,
20200                                   ,47000[43000–51000]                         ,                                            47000 ,                                         43000 ,                                         51000 ,                                                            43 ,                                                         40 ,                                                         47 ,Americas,66,americas,43.0,40.0,47.0,1,,,,,,,,
48600                                   ,120000[100000–140000]                      ,                                           120000 ,                                        100000 ,                                        140000 ,                                                            40 ,                                                         34 ,                                                         48 ,Africa,67,africa,40.0,34.0,48.0,1,,,,,,,,
14600                                   ,44000[39000–49000]                         ,                                            44000 ,                                         39000 ,                                         49000 ,                                                            33 ,                                                         29 ,                                                         37 ,Africa,68,africa,33.0,29.0,37.0,1,,,,,,,,
5600                                    ,8200[7200–9400]                            ,                                             8200 ,                                          7200 ,                                          9400 ,                                                            68 ,                                                         60 ,                                                         78 ,Americas,69,americas,68.0,60.0,78.0,1,,,,,,,,
91500                                   ,160000[140000–180000]                      ,                                           160000 ,                                        140000 ,                                        180000 ,                                                            58 ,                                                         52 ,                                                         65 ,Americas,70,americas,58.0,52.0,65.0,1,,,,,,,,
11700                                   ,23000[18000–28000]                         ,                                            23000 ,                                         18000 ,                                         28000 ,                                                            50 ,                                                         40 ,                                                         61 ,Americas,71,americas,50.0,40.0,61.0,1,,,,,,,,
2000                                    ,3700[3200–4200]                            ,                                             3700 ,                                          3200 ,                                          4200 ,                                                            56 ,                                                         48 ,                                                         63 ,Europe,72,europe,56.0,48.0,63.0,1,,,,,,,,
250                                     ,500[500–500]                               ,                                              500 ,                                           500 ,                                           500 ,                                                            79 ,                                                         71 ,                                                         87 ,Europe,73,europe,79.0,71.0,87.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,South-East Asia,74,south-east asia,,,,1,,,,,,,,
108000                                  ,640000[550000–750000]                      ,                                           640000 ,                                        550000 ,                                        750000 ,                                                            17 ,                                                         15 ,                                                         20 ,South-East Asia,75,south-east asia,17.0,15.0,20.0,1,,,,,,,,
12400                                   ,61000[34000–120000]                        ,                                            61000 ,                                         34000 ,                                        120000 ,                                                            20 ,                                                         11 ,                                                         39 ,Eastern Mediterranean,76,eastern mediterranean,20.0,11.0,39.0,1,,,,,,,,
5700                                    ,7200[6200–8000]                            ,                                             7200 ,                                          6200 ,                                          8000 ,                                                            80 ,                                                         69 ,                                                         89 ,Europe,77,europe,80.0,69.0,89.0,1,,,,,,,,
Nodata                                  ,9000[8000–10000]                           ,                                             9000 ,                                          8000 ,                                         10000 ,                                                               ,                                                            ,                                                            ,Europe,78,europe,,,,1,,,,,,,,
118000                                  ,130000[110000–140000]                      ,                                           130000 ,                                        110000 ,                                        140000 ,                                                            91 ,                                                         78 ,                                                         95 ,Europe,79,europe,91.0,78.0,95.0,1,,,,,,,,
12600                                   ,40000[35000–46000]                         ,                                            40000 ,                                         35000 ,                                         46000 ,                                                            31 ,                                                         27 ,                                                         36 ,Americas,80,americas,31.0,27.0,36.0,1,,,,,,,,
23700                                   ,30000[25000–34000]                         ,                                            30000 ,                                         25000 ,                                         34000 ,                                                            80 ,                                                         68 ,                                                         92 ,Western Pacific,81,western pacific,80.0,68.0,92.0,1,,,,,,,,
310                                     ,500[500–500]                               ,                                              500 ,                                           500 ,                                           500 ,                                                            84 ,                                                         76 ,                                                         95 ,Eastern Mediterranean,82,eastern mediterranean,84.0,76.0,95.0,1,,,,,,,,
15000                                   ,26000[24000–27000]                         ,                                            26000 ,                                         24000 ,                                         27000 ,                                                            58 ,                                                         54 ,                                                         62 ,Europe,83,europe,58.0,54.0,62.0,1,,,,,,,,
1068000                                 ,1600000[1300000–1900000]                   ,                                          1600000 ,                                       1300000 ,                                       1900000 ,                                                            68 ,                                                         58 ,                                                         82 ,Africa,84,africa,68.0,58.0,82.0,1,,,,,,,,
400                                     ,640[580–700]                               ,                                              640 ,                                           580 ,                                           700 ,                                                            62 ,                                                         55 ,                                                         67 ,Eastern Mediterranean,85,eastern mediterranean,62.0,55.0,67.0,1,,,,,,,,
3700                                    ,8500[6500–12000]                           ,                                             8500 ,                                          6500 ,                                         12000 ,                                                            43 ,                                                         33 ,                                                         59 ,Europe,86,europe,43.0,33.0,59.0,1,,,,,,,,
6500                                    ,12000[11000–14000]                         ,                                            12000 ,                                         11000 ,                                         14000 ,                                                            54 ,                                                         48 ,                                                         62 ,Western Pacific,87,western pacific,54.0,48.0,62.0,1,,,,,,,,
2400                                    ,5300[4800–5900]                            ,                                             5300 ,                                          4800 ,                                          5900 ,                                                            45 ,                                                         41 ,                                                         50 ,Europe,88,europe,45.0,41.0,50.0,1,,,,,,,,
1500                                    ,2500[2200–2800]                            ,                                             2500 ,                                          2200 ,                                          2800 ,                                                            60 ,                                                         53 ,                                                         67 ,Eastern Mediterranean,89,eastern mediterranean,60.0,53.0,67.0,1,,,,,,,,
206000                                  ,340000[320000–360000]                      ,                                           340000 ,                                        320000 ,                                        360000 ,                                                            61 ,                                                         57 ,                                                         65 ,Africa,90,africa,61.0,57.0,65.0,1,,,,,,,,
13900                                   ,39000[36000–44000]                         ,                                            39000 ,                                         36000 ,                                         44000 ,                                                            35 ,                                                         32 ,                                                         39 ,Africa,91,africa,35.0,32.0,39.0,1,,,,,,,,
4100                                    ,9200[8300–10000]                           ,                                             9200 ,                                          8300 ,                                         10000 ,                                                            44 ,                                                         40 ,                                                         49 ,Eastern Mediterranean,92,eastern mediterranean,44.0,40.0,49.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,93,europe,,,,1,,,,,,,,
890                                     ,1200[1000–1300]                            ,                                             1200 ,                                          1000 ,                                          1300 ,                                                            77 ,                                                         67 ,                                                         86 ,Europe,94,europe,77.0,67.0,86.0,1,,,,,,,,
3500                                    ,39000[30000–55000]                         ,                                            39000 ,                                         30000 ,                                         55000 ,                                                             9 ,                                                          7 ,                                                         13 ,Africa,95,africa,9.0,7.0,13.0,1,,,,,,,,
814000                                  ,1000000[940000–1100000]                    ,                                          1000000 ,                                        940000 ,                                       1100000 ,                                                            78 ,                                                         70 ,                                                         84 ,Africa,96,africa,78.0,70.0,84.0,1,,,,,,,,
41500                                   ,87000[77000–98000]                         ,                                            87000 ,                                         77000 ,                                         98000 ,                                                            48 ,                                                         42 ,                                                         53 ,Western Pacific,97,western pacific,48.0,42.0,53.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,South-East Asia,98,south-east asia,,,,1,,,,,,,,
47100                                   ,150000[120000–190000]                      ,                                           150000 ,                                        120000 ,                                        190000 ,                                                            31 ,                                                         25 ,                                                         39 ,Africa,99,africa,31.0,25.0,39.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,100,europe,,,,1,,,,,,,,
3000                                    ,5600[4500–7200]                            ,                                             5600 ,                                          4500 ,                                          7200 ,                                                            54 ,                                                         44 ,                                                         69 ,Africa,101,africa,54.0,44.0,69.0,1,,,,,,,,
2800                                    ,13000[10000–15000]                         ,                                            13000 ,                                         10000 ,                                         15000 ,                                                            22 ,                                                         18 ,                                                         26 ,Africa,102,africa,22.0,18.0,26.0,1,,,,,,,,
165000                                  ,230000[200000–270000]                      ,                                           230000 ,                                        200000 ,                                        270000 ,                                                            70 ,                                                         60 ,                                                         80 ,Americas,103,americas,70.0,60.0,80.0,1,,,,,,,,
200                                     ,600[530–670]                               ,                                              600 ,                                           530 ,                                           670 ,                                                            32 ,                                                         29 ,                                                         36 ,Western Pacific,104,western pacific,32.0,29.0,36.0,1,,,,,,,,
160                                     ,500[500–500]                               ,                                              500 ,                                           500 ,                                           500 ,                                                            40 ,                                                         34 ,                                                         46 ,Europe,105,europe,40.0,34.0,46.0,1,,,,,,,,
13600                                   ,21000[17000–28000]                         ,                                            21000 ,                                         17000 ,                                         28000 ,                                                            65 ,                                                         52 ,                                                         86 ,Eastern Mediterranean,106,eastern mediterranean,65.0,52.0,86.0,1,,,,,,,,
1213000                                 ,2200000[1700000–2700000]                   ,                                          2200000 ,                                       1700000 ,                                       2700000 ,                                                            56 ,                                                         44 ,                                                         68 ,Africa,107,africa,56.0,44.0,68.0,1,,,,,,,,
167000                                  ,240000[210000–270000]                      ,                                           240000 ,                                        210000 ,                                        270000 ,                                                            70 ,                                                         63 ,                                                         79 ,South-East Asia,108,south-east asia,70.0,63.0,79.0,1,,,,,,,,
184000                                  ,200000[190000–220000]                      ,                                           200000 ,                                        190000 ,                                        220000 ,                                                            92 ,                                                         84 ,                                                         95 ,Africa,109,africa,92.0,84.0,95.0,1,,,,,,,,
16900                                   ,30000[26000–34000]                         ,                                            30000 ,                                         26000 ,                                         34000 ,                                                            56 ,                                                         50 ,                                                         65 ,South-East Asia,110,south-east asia,56.0,50.0,65.0,1,,,,,,,,
Nodata                                  ,Nodata                                     ,                                                  ,                                               ,                                               ,                                                               ,                                                            ,                                                            ,Europe,111,europe,,,,1,,,,,,,,
2700                                    ,3600[3100–4200]                            ,                                             3600 ,                                          3100 ,                                          4200 ,                                                            73 ,                                                         62 ,                                                         84 ,Western Pacific,112,western pacific,73.0,62.0,84.0,1,,,,,,,,
5000                                    ,9400[7600–12000]                           ,                                             9400 ,                                          7600 ,                                         12000 ,                                                            53 ,                                                         43 ,                                                         68 ,Americas,113,americas,53.0,43.0,68.0,1,,,,,,,,
