id;id_pays;pays;region;id_type_statistique;type_statistique;annee;valeur;type_valeur;valeur_texte;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source;date_creation
2382;2;Albania;Europe;5;HIV Cases Adults 15-49;2010;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2212;2;Albania;Europe;5;HIV Cases Adults 15-49;2018;;count;na              ;;;;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2042;2;Albania;Europe;4;HIV-related Deaths;2000;;count;na                    ;;;;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1872;2;Albania;Europe;4;HIV-related Deaths;2010;;count;na                    ;;;;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1702;2;Albania;Europe;4;HIV-related Deaths;2018;;count;na                    ;;;;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1532;2;Albania;Europe;3;People Living with HIV;2000;;count;na                       ;;;;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1362;2;Albania;Europe;3;People Living with HIV;2005;;count;na                       ;;;;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1192;2;Albania;Europe;3;People Living with HIV;2010;;count;na                       ;;;;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1022;2;Albania;Europe;3;People Living with HIV;2018;;count;na                       ;;;;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
5;2;Albania;Europe;1;Prevention of Mother-to-Child Transmission;2023;;needing_antiretrovirals;Nodata                  ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
6;2;Albania;Europe;1;Prevention of Mother-to-Child Transmission;2023;;percentage_received;Nodata              ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
4;2;Albania;Europe;1;Prevention of Mother-to-Child Transmission;2023;;received_antiretrovirals;No data                  ;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
519;3;Algeria;Africa;2;ART Coverage;2023;81.0;estimated_art_coverage_percent;;75.0;86.0;81.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
518;3;Algeria;Africa;2;ART Coverage;2023;16000.0;estimated_living_with_hiv;;15000.0;17000.0;16000.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
517;3;Algeria;Africa;2;ART Coverage;2023;12800.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2899;3;Algeria;Africa;6;ART Pediatric Coverage;2023;95.0;estimated_children_art_coverage_percent;;95.0;95.0;95.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2898;3;Algeria;Africa;6;ART Pediatric Coverage;2023;500.0;estimated_children_needing_art;;500.0;520.0;500.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2897;3;Algeria;Africa;6;ART Pediatric Coverage;2023;770.0;reported_children_receiving_art;;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2723;3;Algeria;Africa;5;HIV Cases Adults 15-49;2000;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2553;3;Algeria;Africa;5;HIV Cases Adults 15-49;2005;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2383;3;Algeria;Africa;5;HIV Cases Adults 15-49;2010;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2213;3;Algeria;Africa;5;HIV Cases Adults 15-49;2018;0.1;count;;0.1;0.1;0.1;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
2043;3;Algeria;Africa;4;HIV-related Deaths;2000;100.0;count;;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1873;3;Algeria;Africa;4;HIV-related Deaths;2010;200.0;count;;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1703;3;Algeria;Africa;4;HIV-related Deaths;2018;200.0;count;;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv;2025-06-30 12:28:07
1533;3;Algeria;Africa;3;People Living with HIV;2000;1900.0;count;;1700.0;2000.0;1900.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1363;3;Algeria;Africa;3;People Living with HIV;2005;3700.0;count;;3500.0;4000.0;3700.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1193;3;Algeria;Africa;3;People Living with HIV;2010;7100.0;count;;6600.0;7600.0;7100.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
1023;3;Algeria;Africa;3;People Living with HIV;2018;16000.0;count;;15000.0;17000.0;16000.0;good;no_of_people_living_with_hiv_by_country_clean.csv;2025-06-30 12:28:07
