id_pays,annee,nombre_deces
1,2018,500
3,2018,200
4,2018,14000
5,2018,1700
6,2018,200
7,2018,200
10,2018,200
12,2018,580
13,2018,100
14,2018,500
16,2018,200
17,2018,2200
18,2018,100
19,2018,670
20,2018,100
21,2018,4800
22,2018,15000
24,2018,100
25,2018,3300
26,2018,1900
27,2018,100
28,2018,1300
29,2018,18000
31,2018,4800
32,2018,3100
33,2018,590
36,2018,100
37,2018,4000
38,2018,500
39,2018,16000
40,2018,100
41,2018,500
43,2018,100
45,2018,13000
46,2018,100
47,2018,500
48,2018,1200
49,2018,620
50,2018,500
51,2018,700
52,2018,1800
53,2018,500
54,2018,100
55,2018,2400
56,2018,11000
58,2018,100
59,2018,500
60,2018,1200
61,2018,980
62,2018,500
63,2018,500
64,2018,14000
66,2018,2200
67,2018,4300
68,2018,1800
69,2018,200
70,2018,2700
71,2018,780
72,2018,100
73,2018,100
75,2018,38000
76,2018,2600
77,2018,100
78,2018,100
79,2018,710
80,2018,1500
82,2018,100
83,2018,500
84,2018,25000
85,2018,100
86,2018,200
87,2018,500
88,2018,100
89,2018,100
90,2018,6100
91,2018,1800
92,2018,200
94,2018,100
95,2018,1700
96,2018,13000
97,2018,2600
99,2018,6500
101,2018,500
102,2018,610
104,2018,100
105,2018,100
106,2018,500
107,2018,54000
108,2018,7800
109,2018,2700
110,2018,910
112,2018,100
113,2018,200
114,2018,1200
115,2018,53000
116,2018,100
117,2018,100
118,2018,6400
119,2018,500
121,2018,720
122,2018,1000
123,2018,1200
125,2018,500
128,2018,570
129,2018,100
130,2018,200
132,2018,2900
134,2018,1300
135,2018,100
136,2018,2100
137,2018,100
138,2018,100
139,2018,100
140,2018,710
141,2018,71000
142,2018,9900
144,2018,200
145,2018,2900
146,2018,100
149,2018,100
150,2018,500
151,2018,18000
153,2018,3800
155,2018,100
158,2018,23000
159,2018,6100
162,2018,24000
164,2018,200
165,2018,1300
167,2018,4700
168,2018,500
169,2018,17000
170,2018,22000
1,2010,500
3,2010,200
4,2010,10000
5,2010,1600
6,2010,200
7,2010,500
10,2010,200
12,2010,500
13,2010,100
14,2010,200
16,2010,200
17,2010,2000
18,2010,100
19,2010,1600
20,2010,100
21,2010,7300
22,2010,15000
24,2010,100
25,2010,4800
26,2010,5200
27,2010,100
28,2010,2500
29,2010,22000
31,2010,7800
32,2010,3500
36,2010,100
37,2010,3900
38,2010,500
39,2010,24000
40,2010,100
41,2010,500
43,2010,100
45,2010,34000
46,2010,100
47,2010,630
48,2010,3000
49,2010,1100
50,2010,200
51,2010,500
52,2010,1400
53,2010,620
54,2010,200
55,2010,3800
56,2010,20000
58,2010,100
59,2010,600
60,2010,1600
61,2010,970
62,2010,100
63,2010,500
64,2010,17000
66,2010,1700
67,2010,4100
68,2010,1900
69,2010,100
70,2010,4900
71,2010,1400
72,2010,100
73,2010,100
75,2010,24000
76,2010,2400
77,2010,100
78,2010,100
79,2010,830
80,2010,1800
82,2010,100
83,2010,500
84,2010,56000
85,2010,100
86,2010,200
87,2010,500
88,2010,200
89,2010,100
90,2010,7200
91,2010,2700
92,2010,100
94,2010,100
95,2010,1400
96,2010,29000
97,2010,2900
99,2010,5300
101,2010,500
102,2010,500
104,2010,100
105,2010,100
106,2010,550
107,2010,64000
108,2010,11000
109,2010,3500
110,2010,1400
111,2010,200
112,2010,100
113,2010,500
114,2010,1700
115,2010,72000
116,2010,100
117,2010,100
118,2010,1400
119,2010,500
121,2010,790
122,2010,2100
123,2010,500
125,2010,930
128,2010,740
129,2010,100
130,2010,200
132,2010,5700
134,2010,1300
135,2010,100
136,2010,2900
137,2010,100
138,2010,100
139,2010,100
140,2010,1400
141,2010,140000
142,2010,9800
143,2010,1300
144,2010,500
145,2010,1900
146,2010,200
149,2010,100
150,2010,500
151,2010,27000
153,2010,5700
155,2010,100
158,2010,56000
159,2010,12000
162,2010,48000
164,2010,500
165,2010,1800
167,2010,8500
168,2010,200
169,2010,26000
170,2010,54000
1,2000,100
3,2000,100
4,2000,4800
5,2000,1400
6,2000,100
7,2000,500
10,2000,500
12,2000,100
13,2000,100
14,2000,100
16,2000,100
17,2000,2400
18,2000,100
19,2000,670
20,2000,100
21,2000,15000
22,2000,15000
24,2000,100
25,2000,12000
26,2000,11000
27,2000,200
28,2000,4500
29,2000,19000
31,2000,11000
32,2000,5600
36,2000,100
37,2000,6100
38,2000,500
39,2000,44000
40,2000,100
41,2000,200
43,2000,100
45,2000,43000
46,2000,100
47,2000,500
48,2000,4800
49,2000,1500
50,2000,100
51,2000,810
52,2000,680
53,2000,1100
54,2000,100
55,2000,5000
56,2000,58000
58,2000,100
59,2000,880
60,2000,1600
61,2000,500
62,2000,100
63,2000,880
64,2000,18000
66,2000,2400
67,2000,5000
68,2000,1100
69,2000,100
70,2000,12000
71,2000,3200
72,2000,100
73,2000,100
75,2000,1900
76,2000,500
77,2000,100
78,2000,100
79,2000,1200
80,2000,2400
82,2000,100
83,2000,100
84,2000,120000
85,2000,100
86,2000,100
87,2000,100
88,2000,100
89,2000,100
90,2000,12000
91,2000,3000
92,2000,100
94,2000,100
95,2000,500
96,2000,57000
97,2000,2700
99,2000,7700
101,2000,500
102,2000,100
104,2000,100
105,2000,100
106,2000,500
107,2000,40000
108,2000,5800
109,2000,7300
110,2000,500
111,2000,200
112,2000,100
113,2000,100
114,2000,2300
115,2000,78000
116,2000,100
117,2000,100
118,2000,100
119,2000,500
121,2000,500
122,2000,5100
123,2000,100
125,2000,1100
128,2000,500
129,2000,100
130,2000,500
132,2000,18000
134,2000,1700
135,2000,200
136,2000,2400
138,2000,100
139,2000,100
140,2000,810
141,2000,100000
142,2000,5100
143,2000,1800
144,2000,100
145,2000,650
146,2000,200
149,2000,100
150,2000,100
151,2000,54000
153,2000,5600
155,2000,100
158,2000,85000
159,2000,4500
162,2000,80000
164,2000,500
165,2000,840
167,2000,6100
168,2000,100
169,2000,62000
170,2000,120000
