id_pays ,population_hiv_median ,population_hiv_min ,population_hiv_max ,couverture_median ,couverture_min ,couverture_max ,id_type_traitement
    142 ,                16000 ,             12000 ,             21000 ,                9 ,             7 ,            12 ,                 2
    145 ,                 4200 ,              2400 ,              6800 ,               15 ,             8 ,            23 ,                 2
    146 ,                  100 ,               100 ,               100 ,               72 ,            45 ,            95 ,                 2
    150 ,                  540 ,               500 ,               630 ,               95 ,            95 ,            95 ,                 2
    151 ,                 3200 ,              2600 ,              3800 ,               83 ,            68 ,            95 ,                 2
    153 ,                12000 ,             11000 ,             14000 ,               34 ,            29 ,            38 ,                 2
    158 ,               100000 ,             88000 ,            110000 ,               66 ,            57 ,            74 ,                 2
    159 ,                  850 ,               750 ,               980 ,               95 ,            84 ,            95 ,                 2
    162 ,                92000 ,             72000 ,            110000 ,               65 ,            51 ,            80 ,                 2
    164 ,                  200 ,               100 ,               200 ,               64 ,            47 ,            90 ,                 2
    165 ,                 6000 ,              5600 ,              6300 ,               93 ,            87 ,            95 ,                 2
    167 ,                 5000 ,              4000 ,              5900 ,               92 ,            74 ,            95 ,                 2
    168 ,                  500 ,               500 ,               580 ,               33 ,            24 ,            50 ,                 2
    169 ,                62000 ,             52000 ,             74000 ,               79 ,            65 ,            93 ,                 2
    170 ,                84000 ,             65000 ,            100000 ,               76 ,            59 ,            93 ,                 2
